"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"gy-evac.nlogo"
"pop"
"11/21/2024 20:56:27:702 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","over-break-p","terminate-evac-distance-km","initial-people","max-walking-distance-km","warning-interval-time-mins","evacuation-probability","tick-time-in-mins","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","208","208","1766","0","4793","1213","4793","2.7140430351075877"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","209","209","1764","0","4792","1214","4792","2.7165532879818595"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","210","210","1764","0","4792","1214","4792","2.7165532879818595"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","211","211","1761","0","4783","1223","4783","2.7160704145371946"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","212","212","1759","0","4778","1228","4778","2.716316088686754"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","213","213","1758","0","4773","1233","4773","2.7150170648464163"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","214","214","1754","0","4763","1243","4763","2.7155074116305586"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","215","215","1753","0","4763","1243","4763","2.717056474614946"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","216","216","1752","0","4759","1247","4759","2.7163242009132422"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","217","217","1749","0","4747","1259","4747","2.7141223556317895"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","218","218","1747","0","4738","1268","4738","2.712077847738981"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","219","219","1740","0","4716","1290","4716","2.7103448275862068"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","220","220","1737","0","4704","1302","4704","2.708117443868739"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","221","221","1736","0","4701","1305","4701","2.7079493087557602"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","222","222","1735","0","4698","1308","4698","2.7077809798270893"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","223","223","1733","0","4693","1313","4693","2.7080207732256203"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","224","224","1733","0","4693","1313","4693","2.7080207732256203"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","225","225","1731","0","4687","1319","4687","2.707683419988446"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","226","226","1727","0","4675","1331","4675","2.7070063694267517"
